created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-12-25T15:59:30+01:00,1,25.04,39.22,991.53,16.20,19.90,"$GNGGA,000029.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*59",,,,
2021-12-25T15:59:50+01:00,2,24.83,39.16,991.54,16.70,23.10,"$GNGGA,000049.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5F",,,,
2021-12-25T16:00:10+01:00,3,24.70,37.69,991.55,17.50,21.30,"$GNGGA,000109.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5A",,,,
2021-12-25T16:00:30+01:00,4,24.62,40.05,991.55,17.80,21.80,"$GNGGA,000129.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*58",,,,
2021-12-25T16:00:49+01:00,5,24.58,40.75,991.47,19.40,20.50,"$GNGGA,000148.848,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5B",,,,
2021-12-25T16:01:09+01:00,6,24.61,40.78,991.40,24.70,26.00,"$GNGGA,000208.848,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5C",,,,
2021-12-25T16:01:29+01:00,7,24.67,39.93,991.38,27.90,29.30,"$GNGGA,000228.848,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5E",,,,
2021-12-25T16:01:49+01:00,8,24.73,34.33,991.44,24.20,25.50,"$GNGGA,000248.843,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*53",,,,
2021-12-25T16:02:10+01:00,9,24.83,33.46,991.48,15.90,16.70,"$GNGGA,150205.000,4900.5391,N,00825.4448,E,1,8,0.96,142.2,M,47.9,M,,*49",,,,
2021-12-25T16:02:30+01:00,10,24.94,35.76,991.88,8.10,8.60,"$GNGGA,150226.000,4900.5302,N,00825.4369,E,0,0,,139.9,M,47.9,M,,*59",,,,
2021-12-25T16:02:50+01:00,11,25.05,34.15,992.21,7.40,7.80,"$GNGGA,150246.000,4900.5333,N,00825.4387,E,0,0,,139.9,M,47.9,M,,*5D",,,,
2021-12-25T16:03:11+01:00,12,25.14,32.07,992.46,8.60,10.80,"$GNGGA,150306.000,4900.4940,N,00825.4339,E,0,3,,136.3,M,47.9,M,,*54",,,,
2021-12-25T16:03:32+01:00,13,25.22,30.67,992.64,12.50,14.40,"$GNGGA,150327.000,4900.4812,N,00825.4402,E,0,3,,130.8,M,47.9,M,,*53",,,,
2021-12-25T16:03:52+01:00,14,25.27,28.94,992.78,13.90,15.70,"$GNGGA,150347.000,4900.4689,N,00825.4439,E,0,3,,125.0,M,47.9,M,,*5D",,,,
2021-12-25T16:04:12+01:00,15,25.30,28.63,992.86,14.20,16.30,"$GNGGA,150407.000,4900.4550,N,00825.4525,E,1,5,2.12,148.0,M,47.9,M,,*46",,,,
2021-12-25T16:04:33+01:00,16,25.33,28.70,992.94,12.90,16.70,"$GNGGA,150428.000,4900.4536,N,00825.4520,E,1,6,1.20,148.4,M,47.9,M,,*4B",,,,
2021-12-25T16:04:53+01:00,17,25.35,28.18,992.97,13.10,16.50,"$GNGGA,150448.000,4900.4518,N,00825.4417,E,1,8,1.09,145.5,M,47.9,M,,*4D",,,,
2021-12-25T16:05:13+01:00,18,25.35,27.67,993.00,12.30,13.00,"$GNGGA,150508.000,4900.4529,N,00825.4502,E,1,10,0.79,139.3,M,47.9,M,,*7D",,,,
2021-12-25T16:05:34+01:00,19,25.28,27.41,993.04,12.80,13.50,"$GNGGA,150529.000,4900.4418,N,00825.4631,E,1,10,0.79,132.2,M,47.9,M,,*74",,,,
2021-12-25T16:05:54+01:00,20,25.20,27.27,993.08,12.50,13.20,"$GNGGA,150549.000,4900.4282,N,00825.4596,E,1,10,0.79,129.1,M,47.9,M,,*70",,,,
2021-12-25T16:06:14+01:00,21,25.15,28.06,993.10,12.40,13.90,"$GNGGA,150609.000,4900.4111,N,00825.4563,E,1,8,0.88,127.9,M,47.9,M,,*45",,,,
2021-12-25T16:06:35+01:00,22,25.11,29.34,993.11,11.20,13.30,"$GNGGA,150630.000,4900.3950,N,00825.4568,E,1,8,0.96,122.2,M,47.9,M,,*4F",,,,
2021-12-25T16:06:55+01:00,23,25.07,28.88,993.12,9.70,10.70,"$GNGGA,150650.000,4900.3786,N,00825.4557,E,1,7,1.08,124.0,M,47.9,M,,*4D",,,,
2021-12-25T16:07:15+01:00,24,25.04,28.62,993.14,8.30,8.80,"$GNGGA,150710.000,4900.3645,N,00825.4588,E,2,8,0.94,127.3,M,47.9,M,,*4C",,,,
2021-12-25T16:07:36+01:00,25,25.00,29.10,993.15,8.10,8.60,"$GNGGA,150731.000,4900.3500,N,00825.4595,E,2,10,0.77,128.7,M,47.9,M,,*7E",,,,
2021-12-25T16:07:56+01:00,26,24.96,29.56,993.16,8.00,8.50,"$GNGGA,150751.000,4900.3366,N,00825.4670,E,2,11,0.74,130.4,M,47.9,M,,*7E",,,,
2021-12-25T16:08:16+01:00,27,24.90,29.00,993.16,9.50,10.00,"$GNGGA,150811.000,4900.3270,N,00825.4716,E,2,9,0.85,121.6,M,47.9,M,,*47",,,,
2021-12-25T16:08:37+01:00,28,24.84,27.93,993.15,9.30,9.80,"$GNGGA,150832.000,4900.3151,N,00825.4838,E,2,10,0.81,117.9,M,47.9,M,,*73",,,,
2021-12-25T16:08:57+01:00,29,24.76,27.84,993.15,9.80,11.50,"$GNGGA,150852.000,4900.3151,N,00825.4969,E,2,10,0.82,113.7,M,47.9,M,,*79",,,,
2021-12-25T16:09:20+01:00,30,24.69,28.46,993.15,9.80,10.90,"$GNGGA,150914.000,4900.3204,N,00825.5150,E,2,11,0.74,118.2,M,47.9,M,,*7C",,,,
2021-12-25T16:09:41+01:00,31,24.57,28.11,993.14,10.40,11.00,"$GNGGA,150936.000,4900.3218,N,00825.5324,E,2,11,0.74,123.3,M,47.9,M,,*79",,,,
2021-12-25T16:10:01+01:00,32,24.40,27.77,993.13,11.20,11.80,"$GNGGA,150956.000,4900.3245,N,00825.5517,E,2,11,0.74,123.5,M,47.9,M,,*77",,,,
2021-12-25T16:10:21+01:00,33,24.20,28.00,993.11,11.60,14.00,"$GNGGA,151016.000,4900.3214,N,00825.5737,E,2,12,0.70,122.2,M,47.9,M,,*7E",,,,
2021-12-25T16:10:42+01:00,34,24.03,28.32,993.10,12.40,15.60,"$GNGGA,151037.000,4900.3186,N,00825.5935,E,2,12,0.70,115.3,M,47.9,M,,*7C",,,,
2021-12-25T16:11:03+01:00,35,23.88,28.47,993.09,12.30,16.10,"$GNGGA,151058.000,4900.3172,N,00825.6168,E,2,12,0.70,109.2,M,47.9,M,,*71",,,,
2021-12-25T16:11:24+01:00,36,23.69,28.46,993.10,12.40,15.50,"$GNGGA,151119.000,4900.3294,N,00825.6206,E,2,12,0.70,110.1,M,47.9,M,,*7E",,,,
2021-12-25T16:11:45+01:00,37,23.49,28.67,993.09,12.40,13.90,"$GNGGA,151140.000,4900.3414,N,00825.6207,E,2,12,0.70,110.1,M,47.9,M,,*7D",,,,
2021-12-25T16:12:07+01:00,38,23.27,28.94,993.10,13.00,13.70,"$GNGGA,151201.000,4900.3520,N,00825.6225,E,2,11,0.75,112.5,M,47.9,M,,*7D",,,,
2021-12-25T16:12:31+01:00,39,23.06,29.24,993.10,17.20,18.10,"$GNGGA,151223.000,4900.3652,N,00825.6215,E,2,11,0.81,113.9,M,47.9,M,,*7E",,,,
2021-12-25T16:12:52+01:00,40,22.89,29.47,993.11,21.30,22.40,"$GNGGA,151247.000,4900.3787,N,00825.6240,E,2,12,0.70,118.3,M,47.9,M,,*79",,,,
2021-12-25T16:13:13+01:00,41,22.68,29.68,993.11,25.80,27.10,"$GNGGA,151308.000,4900.3949,N,00825.6206,E,2,12,0.70,113.3,M,47.9,M,,*76",,,,
2021-12-25T16:13:34+01:00,42,22.49,29.96,993.11,26.00,27.40,"$GNGGA,151329.000,4900.4093,N,00825.6177,E,2,12,0.70,108.7,M,47.9,M,,*77",,,,
2021-12-25T16:13:57+01:00,43,22.34,30.16,993.12,26.10,27.50,"$GNGGA,151352.000,4900.4198,N,00825.6097,E,2,12,0.70,110.6,M,47.9,M,,*76",,,,
2021-12-25T16:14:18+01:00,44,22.17,30.26,993.13,26.80,28.20,"$GNGGA,151413.000,4900.4232,N,00825.5887,E,2,12,0.70,110.5,M,47.9,M,,*7E",,,,
2021-12-25T16:14:43+01:00,45,21.97,30.58,993.15,28.10,29.60,"$GNGGA,151437.000,4900.4281,N,00825.5641,E,2,12,0.70,110.2,M,47.9,M,,*73",,,,
2021-12-25T16:15:04+01:00,46,21.82,30.89,993.15,29.50,31.00,"$GNGGA,151459.000,4900.4320,N,00825.5434,E,2,12,0.70,111.4,M,47.9,M,,*76",,,,
2021-12-25T16:15:24+01:00,47,21.69,31.05,993.17,29.10,30.60,"$GNGGA,151519.000,4900.4351,N,00825.5210,E,2,12,0.70,115.4,M,47.9,M,,*71",,,,
2021-12-25T16:15:45+01:00,48,21.51,31.22,993.18,27.20,28.60,"$GNGGA,151540.000,4900.4438,N,00825.4975,E,2,12,0.70,121.6,M,47.9,M,,*79",,,,
2021-12-25T16:16:05+01:00,49,21.23,31.91,993.19,22.60,23.80,"$GNGGA,151600.000,4900.4497,N,00825.4780,E,2,11,0.80,119.2,M,47.9,M,,*7C",,,,
2021-12-25T16:16:26+01:00,50,21.03,32.27,993.20,17.20,20.40,"$GNGGA,151621.000,4900.4484,N,00825.4551,E,2,12,0.70,126.7,M,47.9,M,,*76",,,,
2021-12-25T16:16:47+01:00,51,20.88,32.49,993.21,16.50,21.50,"$GNGGA,151642.000,4900.4538,N,00825.4524,E,2,11,0.73,127.4,M,47.9,M,,*75",,,,
2021-12-25T16:17:07+01:00,52,20.76,32.38,993.20,18.80,20.00,"$GNGGA,151702.000,4900.4601,N,00825.4556,E,2,12,0.70,128.1,M,47.9,M,,*76",,,,
2021-12-25T16:17:28+01:00,53,20.60,32.84,993.20,24.70,26.00,"$GNGGA,151723.000,4900.4689,N,00825.4452,E,2,12,0.70,127.1,M,47.9,M,,*7F",,,,
2021-12-25T16:17:48+01:00,54,20.41,33.41,993.20,26.00,27.40,"$GNGGA,151743.000,4900.4820,N,00825.4396,E,2,11,0.80,125.9,M,47.9,M,,*7D",,,,
2021-12-25T16:18:08+01:00,55,20.20,33.84,993.21,24.00,25.30,"$GNGGA,151803.000,4900.4915,N,00825.4318,E,2,12,0.70,131.9,M,47.9,M,,*7E",,,,
2021-12-25T16:18:29+01:00,56,19.96,34.12,993.21,21.90,23.00,"$GNGGA,151824.000,4900.5019,N,00825.4298,E,2,12,0.70,143.2,M,47.9,M,,*78",,,,
2021-12-25T16:18:49+01:00,57,19.74,34.61,993.20,21.10,22.20,"$GNGGA,151844.000,4900.5151,N,00825.4268,E,2,12,0.70,137.6,M,47.9,M,,*7B",,,,
2021-12-25T16:19:09+01:00,58,19.55,34.90,993.18,23.40,24.60,"$GNGGA,151904.000,4900.5151,N,00825.4258,E,2,11,0.80,136.5,M,47.9,M,,*73",,,,
2021-12-25T16:19:30+01:00,59,19.43,34.61,992.87,18.50,19.50,"$GNGGA,151925.000,4900.5085,N,00825.4392,E,6,0,99.99,137.5,M,47.9,M,,*72",,,,
2021-12-25T16:19:49+01:00,60,19.36,34.88,992.56,13.30,14.00,"$GNGGA,151945.000,4900.5165,N,00825.4407,E,0,0,,137.4,M,47.9,M,,*59",,,,
2021-12-25T16:20:10+01:00,61,19.32,35.78,992.27,9.80,10.30,"$GNGGA,152005.000,4900.5262,N,00825.4450,E,2,6,1.18,122.7,M,47.9,M,,*44",,,,
2021-12-25T16:20:31+01:00,62,19.30,36.11,992.04,11.00,11.60,"$GNGGA,152026.000,4900.5148,N,00825.4596,E,2,5,1.52,120.0,M,47.9,M,,*4D",,,,
2021-12-25T16:20:51+01:00,63,19.30,35.98,991.87,12.80,13.50,"$GNGGA,152046.000,4900.5193,N,00825.4995,E,2,9,0.82,107.1,M,47.9,M,,*46",,,,
2021-12-25T16:21:11+01:00,64,19.31,36.31,991.75,16.10,17.00,"$GNGGA,152106.000,4900.5228,N,00825.4623,E,2,8,0.90,121.4,M,47.9,M,,*41",,,,
2021-12-25T16:21:32+01:00,65,19.32,36.39,991.65,19.00,20.00,"$GNGGA,152127.000,4900.5149,N,00825.4791,E,6,2,99.99,126.1,M,47.9,M,,*7B",,,,
2021-12-25T16:21:51+01:00,66,19.34,36.70,991.60,19.00,20.00,"$GNGGA,152147.000,4900.5143,N,00825.4795,E,0,0,,126.1,M,47.9,M,,*59",,,,
2021-12-25T16:22:11+01:00,67,19.37,39.66,991.62,16.70,17.60,"$GNGGA,152207.000,4900.5143,N,00825.4795,E,0,0,,126.1,M,47.9,M,,*5E",,,,
2021-12-25T16:22:32+01:00,68,19.43,39.18,991.64,13.70,14.80,"$GNGGA,152228.000,4900.5143,N,00825.4795,E,0,0,,126.1,M,47.9,M,,*53",,,,
2021-12-25T16:22:52+01:00,69,19.49,38.76,991.66,13.20,15.30,"$GNGGA,152248.000,4900.5143,N,00825.4795,E,0,0,,126.1,M,47.9,M,,*55",,,,
2021-12-25T16:23:12+01:00,70,19.58,38.53,991.66,14.00,14.80,"$GNGGA,152308.000,4900.5143,N,00825.4795,E,0,0,,126.1,M,47.9,M,,*50",,,,
2021-12-25T16:23:33+01:00,71,19.68,38.51,991.67,14.00,14.90,"$GNGGA,152329.000,4900.5149,N,00825.4789,E,0,0,,126.1,M,47.9,M,,*54",,,,
2021-12-25T16:23:53+01:00,72,19.78,38.52,991.68,13.50,14.30,"$GNGGA,152349.000,4900.5149,N,00825.4789,E,0,0,,126.1,M,47.9,M,,*52",,,,
2021-12-25T16:24:13+01:00,73,19.90,38.54,991.69,12.70,13.40,"$GNGGA,152409.000,4900.5149,N,00825.4789,E,0,0,,126.1,M,47.9,M,,*51",,,,
2021-12-25T16:24:34+01:00,74,20.02,38.53,991.69,13.80,16.60,"$GNGGA,152430.000,4900.5149,N,00825.4789,E,0,0,,126.1,M,47.9,M,,*5B",,,,
2021-12-25T16:24:54+01:00,75,20.15,38.58,991.68,13.00,16.00,"$GNGGA,152450.000,4900.5149,N,00825.4789,E,0,0,,126.1,M,47.9,M,,*5D",,,,
2021-12-25T16:25:14+01:00,76,20.28,38.64,991.69,13.10,15.50,"$GNGGA,152510.000,4900.5150,N,00825.4787,E,0,0,,126.1,M,47.9,M,,*5E",,,,
2021-12-25T16:25:35+01:00,77,20.42,38.67,991.68,11.60,12.20,"$GNGGA,152531.000,4900.5150,N,00825.4787,E,0,0,,126.1,M,47.9,M,,*5D",,,,
2021-12-25T16:25:55+01:00,78,20.55,38.72,991.69,11.90,12.40,"$GNGGA,152551.000,4900.5150,N,00825.4787,E,0,0,,126.1,M,47.9,M,,*5B",,,,
2021-12-25T16:26:15+01:00,79,20.69,38.71,991.69,10.90,12.30,"$GNGGA,152611.000,4900.5150,N,00825.4787,E,0,0,,126.1,M,47.9,M,,*5C",,,,
2021-12-25T16:26:35+01:00,80,20.82,38.80,991.69,10.90,12.50,"$GNGGA,152631.000,4900.5150,N,00825.4787,E,0,0,,126.1,M,47.9,M,,*5E",,,,
2021-12-25T16:26:55+01:00,81,20.95,38.85,991.70,10.60,11.50,"$GNGGA,152651.000,4900.5150,N,00825.4787,E,0,0,,126.1,M,47.9,M,,*58",,,,
2021-12-25T16:27:15+01:00,82,21.09,38.80,991.69,10.60,12.10,"$GNGGA,152711.000,4900.5154,N,00825.4782,E,0,0,,126.1,M,47.9,M,,*5C",,,,
